エントリー,日付,引っかかり（具体的な30秒）,なぜ引っかかったのか,関連概念,次に試すこと,備考
1,2026/4/29 (水),ゆめつむ読書会で、一参加者が「○○さんはこういう思いで言ってるんですか？」と確認の形を取りつつ、自分の意見を通そうとする場面が続いた。回答しても聞いても聞かなくても良かったような、確認が確認として機能していない違和感。,意図がズレることそのものは人間誰にでもある。引っかかったのはそこじゃない。Yononakaが守ろうとしている「一人ひとりの言語化を全員でサポートして、各自が一歩深める」という対話観の輪郭が、対比で逆に浮かび上がったから。正解主義が場に持ち込まれた瞬間に、対話が議論にスライドしかけた。,dialogue vs discussion / 正解主義,「正解主義」のシグナルを日中に感じた瞬間アンテナを立てる。自分の中、他人の中、教育現場、家庭、どこに出るか観察する。,今日の収穫は「嫌な参加者に出会った」じゃなく「自分のYononaka観が経験に裏打ちされた信念に格上げされた」こと。
2,2026/4/30 (木),日々耳にする「あーわかる、それって、こうだよね」という共感を目的にした会話に対する違和感。共感で手を取り合うと、心地よくはあるが前に進めない。一方、今日ZEROICHIさんと「会話について会って話す」ワークショップ名・キャッチコピーを試行錯誤した時間は、共感を目的にせず、互いの視点から意見を出し合って前進することを目的にしていて、尊いと感じた。,共感連鎖そのものを否定したいわけじゃない。引っかかったのは、共感が目的化したときに会話が「現在地の相互確認」で止まってしまう構造。自分が居心地良いと感じるのは「現状の自分だからこそ出る意見」を互いに持ち寄って、誰も事前に持ってなかった何かが立ち上がる場。新しいものが生まれる感覚があるから。これが自分の創造的対話の定義だと改めて認識した。,"Generative Dialogue / Yes, and / 創造的対話",Yononakaや会話ワークショップで、共感連鎖が起きている時間と、創造的対話に移った瞬間の境目を意識的に観察する。境目に何があるか言語化する。,自分が「居心地良い」と感じる場の正体が一段見えた日。共感目的の長い会話で消耗する／創造的対話で充電される、という自分の燃料マップが明確になった。
3,2026/5/1 (金),遅刻そのものよりも、遅刻して自分にイラついたり、開き直って謝らなかったりする態度に強く引っかかる。仕事や本番だけでなく「この時間に集合ね」レベルの小さな約束でも同じ反応が出る。「マナー違反だから嫌」では言葉が足りず、解消できなかった。,嫌悪の正体は遅刻ではなく「自分以外の視点を採用しようとしない態度」だった。遅刻＋開き直りはその最もわかりやすい現れだから目に留まる。嫌悪は自分の価値観の中核に「複数の視点を持つ」が据わっている証拠であり、嫌悪は価値観の輪郭を浮かび上がらせる照明として機能する。,影の投影 / 嫌悪は価値観の照明 / 視点固着,自分が他者にイラっとした瞬間、「この嫌悪が照らしている自分の価値観は何か」と一度問い直す習慣をつける。,Day1（読書会の正解主義）・Day2（共感連鎖）と合わせて、3日連続で「視点が固定されている動き」に反応している。これは欠点ではなくファシリテーターとしての才能の裏側。
4,2026/5/1 (金),お笑い、音楽、食事、すべての領域で「今まで選んだことのないもの」「あまりイメージできないもの」を選びがちな自分の傾向に気づいた。シュール、ニッチ、未知。一般受けしないものに惹かれる。,これは単なる「好奇心旺盛」じゃなく、好奇心の方向が「複数の視点を持つこと」に向かっている。対象が何であれ、自分の予測の外を取りに行く動き。同じエンジンが、ファシリテーター将一郎・Yononaka・キープオンのcreator mindsetを駆動している。趣味も仕事も、根は一つ。,視点を増やす好奇心 / Ricœur的自己 / コア・バリュー,この一本の軸で自分の活動全体を眺め直す。週末、Yononaka・キープオン・若手交流会のそれぞれが「視点を増やす場」としてどう機能しているか整理する。,この性質を持つ人は、視点を取りに行かない場でエネルギーを消耗しやすい。場の選択基準として「創造的対話が起きるか」を意識的に使うと長く続く。
5,2026/5/2 (土),新宿のうどん屋がインバウンド価格で、客は自分以外みな外国人観光客。「自分はここに客として求められていない」と感じて店を出た。渋谷まで戻り、降り口を間違え、結局食事が10:30予定が12時に。それでも「歩数が稼げた」「1時間待ちわびた分うどんが旨かった」と感じた瞬間、これは無駄じゃなく試行錯誤そのものが味覚を作ってると気づいた。,「自分で決めて行動した経験」だけが血肉になる、という確信が体験を通じて立ち上がったから。空気を読んで遠慮した選択は記憶のフォルダに別保存されず、上書きされて消えていく。AI・ロボット社会で人間に残る価値は、自分で決めて、新しさに触れて、意識を向けた経験の蓄積側にある。,エピソード記憶 / 自己決定 / 意味づけの自由 / メタ認知,ネガティブな結果が出た時に「これを血肉にする意味づけは何か」を一度立ち止まって書く。感情の反応の前に、メタ認知の層を一枚挟む練習。,Day1〜3が「他者の視点固着」への反応だったのに対し、Day4は「自分の経験を上から眺める視点」へ折り返した。視点の使い先が外から内に向き直った日。
6,2026/5/3 (日),子どもの話をする時、謙遜のために我が子を下げる発言をする場面が世間に多い。自分もしてしまう瞬間がある。でもそれは目の前の子どもに失礼。本当に可愛いと思っているなら可愛い、かっこいいと思っているならかっこいい、と伝える方が正しい。,表層の理由は「子どもに失礼だから」。でも根は別のところにある。子どもは「自分の延長」ではなく「自分が産んだ一人の独立した人間」。この認識が立っていれば、謙遜する時に自分を下げることはあっても、別個体である我が子を代理で下げることは起きない。所有物的に扱うことへの違和感が引っかかりの正体。,コルチャックの子ども観 / I-Thou / 代理で下げる謙遜の構造問題,社交の場で我が子の話題が出た時、謙遜の言葉が口をつく前に一拍置く。下げるなら自分を、子どもには事実を。「うちの子は◯◯が好きで」のような事実ベースの発言に置き換える練習。,新米パパとして、子どもがまだ言葉で抗議できない時期だからこそ、親側の認識の型を今つくっておきたい。Day1〜4で扱った「複数視点」テーマの家族版。
7,2026/5/4 (月),"「仕事は楽しくない、休日が楽しい」というよくある語り口に違和感。休日待ち遠しいほど仕事が退屈なら、なぜそれを続けるのか。「楽しくないことも現実にはある」と返ってくるのも分かるが、その""楽しくなさ""を分解すると、儀礼的な人間関係、クレーム対応、比較で生まれる劣等感、自分の時間割で動けないこと——どれも認識次第で変わりうる部分が大きい。",より深い違和感は、その「現実は厳しい」フレームを、まだ社会に出ていない人や子どもに先回りで伝えてしまう大人の態度。それは未経験者の未来の体験を事前に色付けする行為であり、Day5の「我が子を社交で代理で下げる」と同じ構造を持つ。自分のフレーミングを、それを評価できない他者に押し付けない、という倫理が自分の核にあると気づいた。,Paradox of Work / 社会的学習 / 伝達相手の選別 / プレフレーミング,Yononakaのテーマ案として「仕事は本当に楽しくないものなのか？」を解体するワークショップを設計する。中高生が大人から受け取ってきたフレームを、当事者視点で疑いに行く時間。,Day5（子どもを下げない）とDay6（未経験者にネガティブを伝えない）は同じ骨格。コア・バリュー「複数視点を持つ」が、相手の視点を奪わない倫理として実装されつつある。CLAFTの職業倫理にも直結。
8,2026/5/5 (火),夫婦喧嘩で「夫が確実に悪い」と妻が言う場面で、その語りには無意識のストーリー編集と誇張が含まれているはず、という認識。出来事を物語化して語る人間の脳の仕様。そして関係性で起きるエラーは、ほとんどの場合100:0ではなく、システム全体の力学から生じている。だから当事者間では、原因究明より関係修復の方が合理的。,出来事を物語として語る傾向（narrative fallacy）と、関係をシステムとして見る視点（家族システム論）が、自分の中で同時に立ち上がった。人を裁くより仕組みを見る方が、感情の使い方として無駄が少ない。ただし揺さぶり：「100:0はない」を記述として使うのは正しいが、規範として使うと加害者を擁護する道具になりうる。「関係の力学は双方向」と「選択の責任は選んだ本人」は分けて持つ必要がある。,narrative fallacy / 家族システム論 / 説明と免責の区別 / 共同責任と個人責任の分離,誰かが誰かを断罪する語りに出会った時、(a)物語の編集箇所を疑う、(b)システムの力学を想像する、(c)ただし行動の選択責任は本人に帰す、の3点同時保持を試す。一つだけ持つと判断が偏る。,Day4（自分の経験のメタ認知）の他者版に当たる。自分の経験だけでなく、他者の語りもメタに眺める視点。ただしDay5・Day6で立てた「他者に自分のフレームを押し付けない」倫理とのバランスが要る。
9,2026/5/6 (水),新幹線改札で引き返したいと申し出たら、駅員が「ここでは受け付けられません」と、間違えた人は客ではないような態度で対応。役割上○×判断を求められる仕事だが、それが本人の生き方まで侵食しているように見え、視野の狭さを感じた。広く言えば、正解主義で物事を見ているが故に視野が狭くなり、変化や失敗に対応できなくなっている人を世の中で多く見る。,役割としての正解主義は必要だが、生き方として侵食すると本人が苦しむ。コミュニティごとに「カセットを入れ替える」ように切り替えられる感覚を持てたらいいと思う。自分は平野啓一郎の分人主義を内面化しているが、これをこれから社会を知る子どもにどう伝えるかで迷っている。,正解主義（Day1）/ 役割吸収（role engulfment）/ 分人主義 / アイデンティティの発達段階,CLAFTのお仕事インタビューで、語り手が「職場の自分・家庭の自分・趣味の自分」をどう持っているか引き出してみる。思想を教えるより、複数の顔で生きる大人を見せる方が伝わるかを検証。,Day1の正解主義概念が現場で発動した証拠でもある。概念ストックが日常認識のレンズになり始めた。ただし子どもに分人主義を渡す順序問題は、結論を急がず持ち続ける問いとする。
10,2026/5/7 (木),住んでる地域の子どもたちが髪を染めて深夜まで遊んでいる様子を見て、ここで自分の子を育てるのは違うと感じ、引っ越しを検討。これを愚痴として人に言ってしまう自分に違和感。差別じゃないと思っているが、繰り返し言うと差別的に響くから自重したい。なぜ口に出てしまうかと言うと「親の環境設計次第で子は変わる」という強い信念があり、そうしていない（ように見える）家庭への評価が出てしまうから。,自分の中に「子育ちへの理想」が高く、それが他の家庭への評価軸として漏れている。差別ではなく信念の問題だと自己認識しているが、外から見れば差別に近い構造。揺さぶり：(a)行動遺伝学的には親の環境設計の影響は思うほど大きくない、(b)外から見える子の行動から内側の家庭機能を推定するのは推論として弱い、(c)「自分の判断の正当性」と「他家庭への評価」は分けて切り出せる。,residential sorting / 行動遺伝学（共有環境の影響） / narrative fallacy（Day8） / 自分のフレームを他者に押し付けない（Day6）,引っ越し理由を言葉にする時、他家庭の評価を素材にせず「うちの子の気質と自分が大切にしたい育ち方への適合」だけで語る練習。「言わない」ではなく「他家庭を評価する材料を持っていない」と認識を組み直す。,"教育者としての信念を、親としての自分にそのまま全投入すると、子の発達が""自分の環境設計の通信簿""に見えて疲弊する。Day9の分人主義の最も実用的な使い所かもしれない。教育者の自分と親の自分を分ける。"
