概念名,一行で言うと,発動する場面,出典,自分の体験との接点,登録日,引っかかり日記
dialogue vs discussion,議論は論をぶつけ合って勝者を決める競技、対話は意味が人と人の間を流れて全員が変わる場,「質問の形をした主張」が場に出てきた時／問いかけのはずが結論の上書きに見える時／「聞いても聞かんでも良かったやん」という感触が残った時,David Bohm『On Dialogue』(1996). 量子物理学者ボームが晩年に対話そのものを研究対象にした書。discussion = percussion（叩く）と同じ語源、dialogue = dia（〜を通る）+ logos（意味）という語源解析が中核。,2026/4/29 ゆめつむ読書会。一参加者の「確認の形をとった主張」に違和感。Yononakaが守ろうとしてる場の輪郭が、対比で逆に見えた。,2026/4/29,Day1
地平の融合 (Horizontverschmelzung),自分の先入見と他者の世界がぶつかり、両方が変容して新しい意味の地平が立ち上がる,「事前に予測してたわけじゃないのに、出会った瞬間『これや』と分かる」体験／しっくりくる言葉に後出しで気づいた時／自分の輪郭が一瞬だけ照らされた感覚,Hans-Georg Gadamer『真理と方法 (Wahrheit und Methode)』(1960). ハイデガーの弟子が打ち立てた哲学的解釈学の中核概念。理解は情報の正確なデコードではなく、お互いの地平が動く対話的出来事だという主張。,2026/4/29 Claudeとの対話中。「求めてた言葉ってなんで先に分かるんやろう」と問いを立てた瞬間が、まさに地平の融合が起きた直後の自己観察になっていた。,2026/4/29,Day1
感謝の表明効果 (gratitude expression effect),感謝は受け取る側より、表明する側の幸福度や脳活動を持続的に変える,誰かに「ありがとう」を言った直後に自分の気分が一段上がる感覚／伝わってるはずなのに声に出さずにおれん衝動が湧いた時／表明動機が「相手のため」より「自分が言わずにおれんから」にスライドしてる時,Robert A. Emmons『Thanks!』(2007). UC Davis教授、感謝研究の第一人者。Wong et al.(2018)の感謝の手紙書き実験では書き手の内側前頭前皮質の活動変化が3ヶ月後にも観察。経営者文脈なら稲盛和夫が「感謝」を生き方の中核に置いた実例。,2026/4/29 Claudeとの対話中。「AI相手にありがとうと言ってもそこまで響かんかも、でも言いたい」と気づいた瞬間。表明の動機が他者から自分の内側に移っていることをリアルタイムで自己観察できた。,2026/4/29,Day1
創造的対話（Generative Dialogue）,誰一人が事前に持っていなかった何かが、対話の場から立ち上がる対話モード,共感だけで会話が心地よく止まっている時／「現在地の相互確認」で満足してしまっている場／参加者全員が事前に持ってなかったアイデアが場から自然と出てきた瞬間／自分が「居心地良い、新しいものが生まれていく」と感じている時,"Otto Scharmer『Theory U』(2009). MITの組織変革論。対話を4段階（Downloading→Debate→Reflective Dialogue→Generative Dialogue）で整理し、最深の段階で未来が現れると説く。Keith Johnstoneのインプロ原則「Yes, and」も同じ構造の現場応用。",2026/4/30 ZEROICHIさんと「会話について会って話す」ワークショップ名・キャッチコピーを共に練った時間。誰も事前に持ってなかった案が、対話の場から立ち上がってきた感覚があった。,2026/4/30,Day2
嫌悪は価値観の照明,他者に対する嫌悪は、自分が大切にしているものを裏返しに照らす光である,誰かの態度にイラっとした瞬間／嫌悪を「マナー違反だから」で説明しようとして言葉が足りないと感じた時／同じタイプの嫌悪が複数の場面で繰り返し起きると気づいた時,"Carl G. Jung, 影（Shadow）の理論。「他者の中で苛立たせるものは、自分自身を理解する手がかりになる」（『元型論』）。心理療法では「投影」として現れ、嫌悪の対象は自分の中にある否認された側面、もしくは自分が大切にしている価値の反転像であることが多い。",2026/5/1 遅刻＋開き直りへの強い嫌悪が、実は自分のコア・バリュー「複数の視点を持つ」の照明だと気づいた。Day1・Day2と合わせて、視点固着への反応として一貫していた。,2026/5/1,Day3
刺激と反応の間のスペース,出来事と感情の間にはメタ認知の余白があり、その余白の使い方に人間の自由がある,予定が崩れた瞬間／思い通りにいかなかった直後／「無駄にした」「失敗した」と感情がラベルを貼ろうとしてくる時／ポジティブ・ネガティブどちらに振れた時でも、その感情を受け取る前に一拍置きたい時,Viktor E. Frankl『夜と霧』(1946). 強制収容所体験を経た精神科医が、人間の最後の自由として「与えられた状況に対して自分の態度を選ぶ自由」を提示。エピソード記憶の条件としてEndel Tulvingの研究も併せて参照可能。,2026/5/2 新宿→渋谷うどん移動の1時間半。「無駄にした時間」と「試行錯誤が味覚を作った時間」、同じ事実への二つの意味づけのうち後者を選べた瞬間、メタ認知が一枚挟まったのを実感した。,2026/5/2,Day5
代理で下げる謙遜の構造問題,自分を下げるのは自己選択だが、別個体である子どもを社交のために下げるのは同意なき代理発言である,"「うちの愚息が」と謙遜の流れで我が子を下げる言葉が出そうになる瞬間／親が子どもを""自分の延長""として無意識に扱っている場面／子どもを誇る発言が「親バカ」と封じられる空気の中で、事実ベースの肯定すら口にしにくくなった時",Janusz Korczak『子どもをいかに愛するか』(1920). ポーランドの小児科医・教育者で「子どもは将来の人間ではなく、今この瞬間に完全な一人の人間である」と説いた人物。国連子どもの権利条約の思想的源流。Martin Buber『我と汝』(1923)のI-Thou関係も同じ構造を別角度から照らす。,2026/5/3 新米パパとして、社交の場で我が子を謙遜で下げる文化への違和感を言語化。子どもを所有物ではなく独立した人間として遇する型を、子どもが抗議できない時期の今のうちに固めたい、と意識した。,2026/5/3,Day6
「現実はこうだよ」の伝達責任,"自分が体験している""楽しくない現実""を、まだ未経験の人に語る前に、それが認識の問題でないかを点検する責任が話し手にある",中高生や若手に「社会に出ると分かるけど」と語り出しそうになる瞬間／「仕事って楽しくないよね」が共感を呼びそうな会話の流れ／自分の愚痴の聴衆として対等に評価できない相手を選んでしまっている時,Mihaly Csikszentmihalyi『Finding Flow』(1997). フロー理論の提唱者。「人は仕事中の方がフローを体験しているのに主観では休日の方が幸せと答える」というParadox of Workを実証。社会的フレームが実体験を上書きする現象。Albert Banduraの社会的学習理論とも接続。稲盛和夫『働き方』はフレーム転換の実例。,2026/5/4 「仕事は楽しくない／休日は楽しい」という語り口への違和感を分解。Day5（子どもを代理で下げない）と同じ構造で、自分のフレーミングを未経験者に押し付けない倫理として認識。CLAFTでの職業倫理にも直結する自分のコア軸。,2026/5/4,Day7
narrative fallacy（物語の罠）,人間の脳は出来事を必ず原因→結果のストーリーに整形して記憶するため、語られた瞬間に編集と誇張が混入する,誰かが誰かを一方的に断罪する語りを聞いた時／自分自身が過去の出来事を「あの人が悪かった」と整理しようとした時／ニュースや他者の人生について断定的な解釈を下しそうになる時／妻や子の出来事を自分の中で物語化して固めていると気づいた時,"Nassim N. Taleb『The Black Swan』(2007). 物語の罠として体系化。Daniel Kahneman『Thinking, Fast and Slow』(2011)のSystem1思考とも接続。関係性視点ではMurray Bowenの家族システム論、Salvador Minuchinの構造的家族療法。ただしJohn Gottmanの縦断研究は、関係の双方向性と個人の選択責任は分けて扱う必要があると結論。",2026/5/5 夫婦喧嘩や不倫の語りについて思考。物語化の傾向とシステム視点という2つの認識ツールを得た一方、「100:0はない」を規範として運用すると加害者擁護の道具になりうるという揺さぶりも受け取った。記述と規範を分ける必要がある、という線引きが今日の最大の発見。,2026/5/5,Day8
役割吸収（role engulfment）,役割としての振る舞いが本人のアイデンティティに溶け出し、役を脱げなくなる現象,仕事の正解主義が日常会話まで侵食している人を見た時／自分自身が「教育者の顔」「経営者の顔」を家庭でも外せていないと気づいた時／役割と素の自分の境界が薄くなっている職業人と接した時／複数の役を意識的に切り替えて生きている人と接した時,Erving Goffman『日常生活における自己呈示』(1959). 「人生は舞台、人は役者」というドラマトゥルギー論。役を演じすぎて素に戻れない現象を「role engulfment」と呼ぶ。平野啓一郎『私とは何か』(2012)は統一的アイデンティティの圧からの解放として分人概念を提示。Eriksonの発達段階、KeganのEvolving Selfも関連。,2026/5/6 新幹線駅員の○×思考が日常態度まで侵食しているように見えた。これを子どもにどう伝えるかで迷う。分人主義を教える前に、複数の顔で生きる大人を見せる方が先かもしれない、という運用判断に至る。,2026/5/6,Day9
